,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
1765,BC,374594,620,3747,25,273,0,28,0,2022,07,01
1779,BC,375357,763,3788,41,369,96,36,8,2022,07,08
1793,BC,376329,972,3823,35,426,57,34,-2,2022,07,15
1807,BC,377372,1043,3855,32,406,-20,30,-4,2022,07,22
1821,BC,378291,919,3908,53,401,-5,35,5,2022,07,29
1835,BC,379274,983,3940,32,410,9,38,3,2022,08,05
1849,BC,380174,900,3995,55,385,-25,23,-15,2022,08,12
1863,BC,381049,875,4037,42,366,-19,22,-1,2022,08,19
1877,BC,381788,739,4097,60,331,-35,29,7,2022,08,26
1891,BC,382436,648,4145,48,306,-25,29,0,2022,09,02
1905,BC,383054,618,4183,38,324,18,22,-7,2022,09,09
1919,BC,383628,574,4216,33,314,-10,23,1,2022,09,16
1933,BC,384266,638,4253,37,305,-9,22,-1,2022,09,23
1947,BC,384900,634,4283,30,367,62,30,8,2022,09,30
1961,BC,385559,659,4321,38,369,2,29,-1,2022,10,07
1975,BC,386293,734,4370,49,365,-4,19,-10,2022,10,14
1989,BC,386920,627,4423,53,389,24,21,2,2022,10,21
2003,BC,387451,531,4485,62,292,-97,20,-1,2022,10,28
2017,BC,387936,485,4525,40,286,-6,27,7,2022,11,04
2031,BC,388497,561,4552,27,290,4,26,-1,2022,11,11
2045,BC,388984,487,4607,55,328,38,26,0,2022,11,18
2059,BC,389479,495,4642,35,328,0,37,11,2022,11,25
2073,BC,390087,608,4680,38,369,41,38,1,2022,12,02
2087,BC,390626,539,4715,35,359,-10,34,-4,2022,12,09
2101,BC,391285,659,4760,45,374,15,31,-3,2022,12,16
2115,BC,391897,612,4806,46,349,-25,35,4,2022,12,23
2129,BC,391897,0,4806,0,349,0,35,0,2022,12,30
2143,BC,393145,1248,4896,90,356,7,25,-10,2023,01,06
2157,BC,393804,659,4961,65,302,-54,25,0,2023,01,13
2171,BC,394366,562,5007,46,268,-34,27,2,2023,01,20
2185,BC,394774,408,5061,54,228,-40,22,-5,2023,01,27
2199,BC,395070,296,5106,45,204,-24,23,1,2023,02,03
2214,BC,395367,297,5139,33,188,-16,25,2,2023,02,10
2228,BC,395709,342,5157,18,193,5,15,-10,2023,02,17
2242,BC,396066,357,5192,35,240,47,17,2,2023,02,24
2256,BC,396472,406,5218,26,237,-3,14,-3,2023,03,03
2270,BC,396817,345,5249,31,205,-32,18,4,2023,03,10
63,CA,4,4,0,0,0,0,0,0,2020,01,31
77,CA,7,3,0,0,0,0,0,0,2020,02,07
91,CA,8,1,0,0,0,0,0,0,2020,02,14
155,CA,9,1,0,0,0,0,0,0,2020,02,21
177,CA,16,7,0,0,0,0,0,0,2020,02,28
